Value,Percentile,TotalCount,1/(1-Percentile)
1.603,0.000000,1,1.00
2.713,0.100000,45,1.11
2.901,0.200000,88,1.25
3.781,0.300000,132,1.43
4.343,0.400000,176,1.67
5.051,0.500000,220,2.00
5.191,0.550000,242,2.22
5.359,0.600000,264,2.50
5.575,0.650000,286,2.86
8.095,0.700000,308,3.33
9.279,0.750000,330,4.00
9.751,0.775000,341,4.44
10.079,0.800000,352,5.00
10.447,0.825000,363,5.71
11.143,0.850000,374,6.67
11.655,0.875000,385,8.00
12.367,0.887500,391,8.89
12.695,0.900000,396,10.00
12.927,0.912500,402,11.43
13.231,0.925000,407,13.33
13.607,0.937500,413,16.00
14.575,0.943750,416,17.78
14.887,0.950000,418,20.00
15.071,0.956250,421,22.86
16.575,0.962500,424,26.67
17.135,0.968750,427,32.00
17.887,0.971875,428,35.56
18.479,0.975000,429,40.00
19.071,0.978125,431,45.71
19.103,0.981250,432,53.33
20.735,0.984375,434,64.00
20.735,0.985938,434,71.11
21.695,0.987500,435,80.00
23.279,0.989062,436,91.43
23.279,0.990625,436,106.67
29.135,0.992188,437,128.00
29.135,0.992969,437,142.22
51.711,0.993750,438,160.00
51.711,0.994531,438,182.86
51.711,0.995313,438,213.33
95.295,0.996094,439,256.00
95.295,0.996484,439,284.44
95.295,0.996875,439,320.00
95.295,0.997266,439,365.71
95.295,0.997656,439,426.67
109.055,0.998047,440,512.00
109.055,1.000000,440,inf
