cpu_para,mem_para,mean,stddev,memrd,rps,tps
0,0,5.581,0.960,136.89,1.09,233.60
0,1,5.680,1.028,136.89,1.09,233.60
0,2,5.698,1.056,136.89,1.09,233.59
0,3,5.685,0.976,136.89,1.09,233.60
0,4,5.743,1.059,136.89,1.09,233.60
0,5,5.668,1.178,136.89,1.09,233.60
0,6,5.642,0.989,136.89,1.09,233.60
0,7,5.706,1.064,136.89,1.09,233.61
1,0,5.384,0.800,136.89,1.09,233.62
1,1,5.401,0.781,136.89,1.09,233.62
1,2,5.422,0.748,136.89,1.09,233.62
1,3,5.416,0.792,136.89,1.09,233.62
1,4,5.415,0.771,136.89,1.09,233.62
1,5,5.419,0.771,136.89,1.09,233.62
1,6,5.414,0.787,136.89,1.09,233.62
1,7,5.442,0.787,136.89,1.09,233.62
2,0,5.199,0.734,136.89,1.09,233.62
2,1,5.238,0.770,136.89,1.09,233.62
2,2,5.223,0.737,136.89,1.09,233.62
2,3,5.232,0.753,136.89,1.09,233.62
2,4,5.212,0.784,136.89,1.09,233.62
2,5,5.206,0.790,136.89,1.09,233.62
2,6,5.241,0.803,136.89,1.09,233.62
2,7,5.236,0.759,136.89,1.09,233.62
3,0,4.955,0.826,136.89,1.09,233.62
3,1,4.907,0.703,136.89,1.09,233.62
3,2,4.907,0.712,136.89,1.09,233.62
3,3,4.914,0.742,136.89,1.09,233.62
3,4,4.951,0.740,136.89,1.09,233.62
3,5,4.923,0.755,136.89,1.09,233.62
3,6,4.882,0.694,136.89,1.09,233.62
3,7,4.921,0.702,136.89,1.09,233.62
4,0,4.754,0.725,136.89,1.09,233.62
4,1,4.764,0.649,136.89,1.09,233.62
4,2,4.739,0.658,136.89,1.09,233.62
4,3,4.748,0.680,136.89,1.09,233.62
4,4,4.759,0.667,136.89,1.09,233.62
4,5,4.803,0.721,136.89,1.09,233.62
4,6,4.816,0.833,136.89,1.09,233.62
4,7,4.784,0.825,136.89,1.09,233.62
5,0,4.879,0.801,136.89,1.09,233.62
5,1,4.892,0.712,136.89,1.09,233.62
5,2,4.859,0.745,136.89,1.09,233.62
5,3,4.896,0.868,136.89,1.09,233.62
5,4,4.888,0.747,136.89,1.09,233.62
5,5,4.888,0.750,136.89,1.09,233.62
5,6,4.886,0.728,136.89,1.09,233.62
5,7,4.900,0.736,136.89,1.09,233.60
6,0,5.033,0.861,136.89,1.09,233.62
6,1,5.036,0.748,136.89,1.09,233.62
6,2,5.016,0.749,136.89,1.09,233.62
6,3,5.068,0.886,136.89,1.09,233.62
6,4,5.097,1.075,136.89,1.09,233.62
6,5,5.047,0.872,136.89,1.09,233.62
6,6,5.035,0.784,136.89,1.09,233.59
6,7,5.075,1.267,136.89,1.09,233.61
7,0,5.555,1.710,136.89,1.09,233.62
7,1,5.611,1.243,136.89,1.09,233.62
7,2,5.517,1.051,136.89,1.09,233.62
7,3,5.359,1.272,136.89,1.09,233.63
7,4,5.245,0.855,136.89,1.09,233.61
7,5,5.264,0.867,136.89,1.09,233.61
7,6,5.272,0.904,136.89,1.09,233.60
7,7,5.346,1.132,136.89,1.09,233.61
