CONTAINER ID   NAME                                     CPU %     MEM %     NET I/O           BLOCK I/O
8375c3beaa6a   socialnetwork-user-service-1             0.08%     0.03%     15.5MB / 9.55MB   0B / 0B
780d141cb6f1   socialnetwork-post-storage-service-1     0.18%     0.03%     61.1MB / 72.8MB   0B / 0B
2c0cfcefce7d   socialnetwork-nginx-thrift-1             0.31%     0.49%     49.8MB / 61.7MB   0B / 0B
424780b6004a   socialnetwork-media-frontend-1           0.00%     0.23%     28.3kB / 0B       0B / 0B
ea14cd3822da   socialnetwork-compose-post-service-1     1.01%     0.05%     120MB / 171MB     0B / 0B
85e904704c69   socialnetwork-unique-id-service-1        0.08%     0.04%     12.3MB / 7.33MB   0B / 0B
430bbd975243   socialnetwork-url-shorten-service-1      0.31%     0.02%     29.9MB / 60.9MB   0B / 0B
6d8b8d8270d5   socialnetwork-user-timeline-service-1    0.23%     0.02%     71.5MB / 36.4MB   0B / 0B
53065cbfc0f4   socialnetwork-home-timeline-service-1    0.18%     0.02%     19.9MB / 22.1MB   0B / 0B
38d788fdcbad   socialnetwork-text-service-1             0.61%     0.02%     64.2MB / 81.9MB   0B / 0B
99fa88a0a7c5   socialnetwork-media-service-1            0.07%     0.02%     14.5MB / 9.85MB   0B / 0B
11601a0ea8de   socialnetwork-user-mention-service-1     0.34%     0.03%     40.7MB / 56.9MB   0B / 0B
c5e76213b526   socialnetwork-social-graph-service-1     0.28%     0.03%     24.8MB / 29.2MB   0B / 0B
0e29b7239860   socialnetwork-user-mongodb-1             0.47%     1.22%     16MB / 10.6MB     0B / 0B
58aa6fb26e3d   socialnetwork-user-timeline-redis-1      0.20%     0.10%     9.27MB / 3MB      0B / 0B
7b21ff250b4a   socialnetwork-user-memcached-1           0.15%     0.05%     32.4MB / 17MB     0B / 0B
bed0fd99f201   socialnetwork-post-storage-mongodb-1     0.71%     2.19%     65.1MB / 7.74MB   0B / 0B
c4ebab14d2e7   socialnetwork-url-shorten-memcached-1    0.01%     0.05%     28.7kB / 0B       0B / 0B
1140913cd859   socialnetwork-media-memcached-1          0.02%     0.05%     28.4kB / 0B       0B / 0B
697fed19dc2c   socialnetwork-social-graph-redis-1       0.20%     0.09%     7.86MB / 3MB      0B / 0B
b1639f86dd27   socialnetwork-home-timeline-redis-1      0.08%     0.09%     1.02MB / 512kB    0B / 0B
04c7c7e3031a   socialnetwork-user-timeline-mongodb-1    0.74%     1.34%     18.1MB / 55MB     0B / 0B
16f6330498d2   socialnetwork-jaeger-agent-1             0.05%     5.49%     48.9MB / 171MB    0B / 0B
f4637011c90b   socialnetwork-url-shorten-mongodb-1      0.80%     2.22%     36.1MB / 6.56MB   0B / 0B
dbb97d5eeb4a   socialnetwork-media-mongodb-1            0.42%     1.20%     28.4kB / 0B       0B / 0B
50a9de3bfeb9   socialnetwork-social-graph-mongodb-1     0.94%     1.21%     12.4MB / 9.51MB   0B / 0B
dfa94f89f68c   socialnetwork-post-storage-memcached-1   0.01%     0.05%     28.4kB / 0B       0B / 0B
