cpu_para,mem_para,nreq,memrd,rps,tfs,mean,std
0,0,139,56.54,1.16,482.44,5.882,3.853
0,2,139,58.23,1.16,496.88,6.984,4.500
0,4,139,56.74,1.16,484.09,7.530,4.891
4,0,139,60.15,1.16,513.22,6.856,4.572
2,0,139,54.69,1.16,466.68,6.136,3.805
2,2,139,56.74,1.16,484.13,8.054,5.521
1,1,139,62.12,1.16,530.05,5.573,3.300
0,2,139,56.21,1.16,479.60,6.223,3.904
0,1,139,58.12,1.16,495.95,6.192,3.685
2,0,139,58.59,1.16,499.95,5.444,3.438
1,0,139,60.08,1.16,512.63,6.137,3.816
4,4,139,56.87,1.16,485.29,8.931,6.884
