,unique-id,social-graph,home-timeline,media,compose-post,user,text,url-shorten,user-mention,user-timeline,post-storage,nginx,service-user-cpu_util,service-user-mem_util,service-user-netio_read,service-user-netio_write,service-user-blkio_read,service-user-blkio_write,service-post-storage-cpu_util,service-post-storage-mem_util,service-post-storage-netio_read,service-post-storage-netio_write,service-post-storage-blkio_read,service-post-storage-blkio_write,service-nginx-cpu_util,service-nginx-mem_util,service-nginx-netio_read,service-nginx-netio_write,service-nginx-blkio_read,service-nginx-blkio_write,service-media-cpu_util,service-media-mem_util,service-media-netio_read,service-media-netio_write,service-media-blkio_read,service-media-blkio_write,service-compose-post-cpu_util,service-compose-post-mem_util,service-compose-post-netio_read,service-compose-post-netio_write,service-compose-post-blkio_read,service-compose-post-blkio_write,service-unique-id-cpu_util,service-unique-id-mem_util,service-unique-id-netio_read,service-unique-id-netio_write,service-unique-id-blkio_read,service-unique-id-blkio_write,service-url-shorten-cpu_util,service-url-shorten-mem_util,service-url-shorten-netio_read,service-url-shorten-netio_write,service-url-shorten-blkio_read,service-url-shorten-blkio_write,service-user-timeline-cpu_util,service-user-timeline-mem_util,service-user-timeline-netio_read,service-user-timeline-netio_write,service-user-timeline-blkio_read,service-user-timeline-blkio_write,service-home-timeline-cpu_util,service-home-timeline-mem_util,service-home-timeline-netio_read,service-home-timeline-netio_write,service-home-timeline-blkio_read,service-home-timeline-blkio_write,service-text-cpu_util,service-text-mem_util,service-text-netio_read,service-text-netio_write,service-text-blkio_read,service-text-blkio_write,service-user-mention-cpu_util,service-user-mention-mem_util,service-user-mention-netio_read,service-user-mention-netio_write,service-user-mention-blkio_read,service-user-mention-blkio_write,service-social-graph-cpu_util,service-social-graph-mem_util,service-social-graph-netio_read,service-social-graph-netio_write,service-social-graph-blkio_read,service-social-graph-blkio_write
0,21,2231,3194,12,14331,11,5497,1652,2512,2427,1270,19687,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
1,14,2109,2904,7,11553,26,4610,1463,2053,1959,1051,15665,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
2,18,1767,2413,8,10347,8,3600,1157,1586,1795,934,13843,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
3,14,1708,2391,25,11520,7,4375,1336,2077,1870,1064,16164,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
4,46,1567,2376,7,10262,8,3749,1218,1666,1698,934,14529,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
5,14,1593,3622,6,18398,6,5393,1174,1779,1750,944,21699,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
6,34,1814,2557,6,10938,7,3838,1166,1818,1969,1095,14450,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
7,104,14932,20246,32,62164,53,22335,9977,9690,8319,6951,100665,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
8,14,1592,2381,7,11539,6,4293,1310,1859,1839,1079,16210,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
9,14,1707,3748,7,19679,6,6686,1316,2675,1807,974,24135,0.73,1.3,9810000.0,5880000.0,0.0,0.0,0.8,1.4100000000000001,18897800.0,12170000.0,0.0,0.0,0.32,0.47,7360000.0,9100000.0,0.0,0.0,0.4,1.49,2223300.0,1440000.0,0.0,0.0,1.39,0.05,17600000.0,25000000.0,0.0,0.0,0.09,0.04,1820000.0,1070000.0,0.0,0.0,0.96,1.4100000000000001,10078100.0,10200000.0,0.0,0.0,1.1600000000000001,1.3,9650000.0,8927000.0,0.0,0.0,0.31,0.11,3129000.0,3339100.0,0.0,0.0,0.63,0.02,9400000.0,12000000.0,0.0,0.0,0.31,0.03,6070000.0,8380000.000000001,0.0,0.0,1.19,1.31,7040000.0,6476000.0,0.0,0.0
